X,Y,label
16.495253,21.55826,2
13.838493,11.909305,2
14.952425,17.997189,2
15.613913,19.317053,2
14.178869,15.79632,2
15.346777,21.012,2
15.058026,14.103873,2
14.843599,15.070206,2
11.93435,16.289423,1
12.220995,15.097373,1
16.353304,20.180216,2
12.696059,11.477964,1
14.426654,13.497895,2
15.91307,18.46077,2
2.285068,15.765264,1
15.945043,17.26688,2
15.696019,21.081303,2
14.022941,18.445602,2
15.428065,18.714333,2
14.235582,13.62896,2
2.2111518,12.614703,1
16.633408,18.296993,2
14.654487,11.685413,2
13.020724,17.972038,2
-2.026156,18.446852,1
15.232662,15.525192,2
14.866669,19.675758,2
1.2699387,8.744854,1
14.611108,16.760798,2
16.243973,19.014324,2
5.98802,16.779335,1
7.2694197,16.969275,1
17.971848,20.242537,2
18.94449,20.40256,4
15.039687,13.059843,2
16.573019,19.74957,2
16.9554,19.335024,2
7.000925,2.8419755,1
13.748783,6.444307,2
11.905238,16.986704,2
3.9313803,5.5072436,1
2.4615362,6.8955193,1
5.5813074,18.47648,1
0.8481729,11.715117,1
6.751307,2.4138982,1
1.0210867,12.301676,1
14.042595,14.398135,2
13.832235,6.567698,2
0.3802672,13.314976,1
17.408232,19.204742,2
13.902285,6.8996363,2
6.118098,17.305914,1
4.537986,19.223331,1
15.13779,-3.5938616,2
5.1858068,10.915846,1
-1.1660653,19.299662,1
6.882399,3.270608,1
4.446439,18.871977,1
0.58819294,16.729677,1
5.2011843,21.946455,1
4.686134,16.788969,1
0.29028824,10.976612,1
3.7228875,16.935104,1
11.062745,15.886416,1
16.956692,16.999147,4
1.8562819,11.872434,1
6.3998938,3.5565069,1
0.6884316,9.260437,1
-0.034750625,18.495155,1
17.346851,18.553518,2
13.474024,14.140041,2
17.69811,20.787428,2
7.6263,1.347372,4
15.36951,16.531212,2
2.2449963,7.359173,1
1.8341333,11.202192,1
13.717827,11.236718,2
15.725044,14.940855,2
1.8644911,6.4878993,4
5.3030314,3.851125,4
-0.35676274,8.967716,1
13.107633,12.89375,2
0.4468713,8.531735,1
-0.52597153,17.209873,1
12.615494,7.173275,2
9.9145155,17.79042,4
12.344485,8.173405,4
5.7778597,20.431583,1
15.140737,12.479287,2
12.782728,11.209824,2
-0.0692234,4.31931,4
-0.80799836,19.64608,1
14.911806,11.532457,2
1.8118968,9.228818,1
5.6586475,2.133456,4
10.741615,-8.347814,5
4.8968277,17.340183,1
-0.47145158,8.183715,1
4.5492377,2.7700334,4
0.009444047,19.290092,1
1.5597583,18.063261,1
-2.6339,15.342757,1
4.519474,12.345081,1
-0.76759183,18.109644,1
-3.3887405,-17.514381,5
-0.7964461,2.4093425,4
1.4526494,-15.928121,5
11.495027,17.577433,2
0.46611205,17.486757,1
3.9289663,12.499525,1
-0.7181334,5.937454,4
-2.6774287,15.382579,1
3.0677135,14.365614,1
4.2928276,11.923389,1
2.0835602,16.363716,1
4.196803,17.90812,1
-1.4622391,5.897695,0
3.9925232,9.79678,1
3.9208214,10.274964,1
0.5883625,19.929268,1
1.1346532,7.5430803,1
-0.17704315,4.079339,4
1.9773154,2.954706,0
-10.690078,-19.585558,5
12.909856,-3.0660539,4
-0.5892591,6.635507,0
0.6041416,6.0431194,4
3.7810645,8.680078,1
6.2271686,-11.650328,5
-4.6654897,7.35394,0
1.0767832,17.73899,1
-0.15300694,17.996883,1
1.4982208,5.750767,4
-0.15902132,-17.221285,5
1.0676174,20.054258,1
2.101444,19.496557,1
4.2333407,10.803694,1
11.071108,-2.4005287,4
-1.9346015,7.247568,0
5.303515,3.0714467,4
-10.218387,-19.512712,5
-11.571581,-19.745602,5
-2.7884905,4.311668,0
-5.2184052,-16.38172,5
2.3755617,-14.554861,5
1.9997708,17.577688,1
-0.032875404,-14.806168,5
7.59623,6.101783,1
10.302821,-8.1594,5
-5.3901215,-15.283459,0
5.4552345,-5.947129,4
0.99702835,10.109035,1
-7.411081,-16.733234,5
3.9578302,-14.477136,5
0.3623187,22.074911,1
-9.915018,-20.14549,5
12.531442,9.7708235,4
12.478784,9.479329,4
4.337095,3.4705377,4
6.6108603,8.785252,1
2.4886773,3.878477,0
-5.8014636,6.9076347,0
6.2273345,-12.315037,5
1.2373985,-14.695964,5
5.1174965,3.0000389,4
-2.7807379,-16.385313,5
-14.776135,-8.666381,0
6.603283,1.3185326,4
-7.2469587,-17.354637,5
6.338326,8.0762,1
-12.078976,-18.142813,0
0.0814772,-15.475457,5
1.294369,-12.826114,5
-10.749347,-20.049644,5
1.460394,-11.906032,5
0.11513609,6.8738346,1
3.5640829,-14.446352,5
7.6232967,9.806585,3
-2.565911,-15.648666,5
1.1861954,-15.182336,5
7.189084,7.98541,3
-9.142464,-20.542324,5
1.9611611,-11.102855,5
-5.6958585,7.2368765,1
-9.865308,-19.618988,5
-0.52246594,-15.035187,5
-4.9045935,13.818852,4
-21.365395,-4.023927,4
1.2786291,20.97153,1
12.930076,-4.001073,0
3.7939117,12.956871,1
-3.6712644,-19.462664,5
1.1256083,-13.763243,5
-3.4933476,-19.46661,5
-1.7130796,7.931217,0
-9.304634,-20.722807,5
2.0367107,-13.230619,0
8.049706,6.0283856,3
-12.389756,-2.548843,0
14.5899105,-3.2442305,3
-0.94812566,-17.374945,5
-10.535131,-20.58668,5
15.28693,-4.197542,5
-15.035416,-8.552177,0
5.34414,20.883533,1
8.032686,5.8750567,3
11.362132,-6.9735317,5
2.0465865,18.612915,1
12.441455,-3.7318716,0
-12.039101,-20.587742,5
11.834888,-7.496445,5
1.779112,20.446518,1
14.179609,-4.304879,2
-2.050241,-17.550121,5
7.790798,8.452285,3
-12.109085,-21.088116,5
10.939472,-6.9385614,5
4.8461905,-13.374721,5
-3.197344,-16.363518,5
-5.8645787,-15.894733,5
2.025785,-15.311012,5
0.57875973,22.291235,1
1.0877956,23.04237,1
-4.7789454,-13.3921,0
4.8649163,-12.804261,5
12.032438,-6.283535,5
1.0656731,22.426577,1
13.469294,-3.53924,0
-0.5422794,-13.270085,5
5.489391,-13.106494,5
-3.7703278,-15.01407,5
-9.971754,-15.29976,0
-4.126801,-15.289565,0
-21.828358,-3.0306551,4
-6.933362,-15.597932,0
11.8845005,-5.808008,5
-9.008291,-13.33894,0
-10.218298,-16.189323,0
-4.7110076,-15.848947,0
2.7956688,-13.24191,0
-9.627056,-16.232899,0
-2.7224588,-14.581086,0
-7.999941,-15.821048,0
-19.258278,-1.492011,4
-19.4852,-2.1596243,4
-8.673638,-15.589508,0
3.246199,-13.162867,5
-13.78164,-2.3812318,0
-13.305707,-9.909912,0
-10.491717,-15.559427,0
-4.8247766,-15.256513,0
2.5329685,-15.349908,0
1.7744355,-14.447501,5
-8.317703,-9.368488,1
-7.1996927,-14.606858,0
-6.6549664,-5.3895392,0
-7.7505636,-15.348012,0
-13.138618,-17.389938,0
14.024945,-3.7575004,0
-2.9246583,-5.616516,3
-2.8737762,4.282832,0
-2.0969217,-16.869158,5
-6.8519344,-1.6274427,0
-13.810859,-1.2205139,0
12.191493,-4.881107,0
10.673848,-6.074404,5
-6.8210588,-2.8060129,0
12.768452,-5.056479,5
8.228136,-4.133152,0
-7.901667,-14.404844,0
14.643014,-4.183707,4
12.59361,-6.155634,5
-11.255894,-17.511267,0
-4.395775,13.8312025,0
-15.805497,-1.1674473,4
-14.058347,-0.2783143,0
8.863405,-6.6882887,5
-15.327833,-7.4303436,0
5.2734933,-12.561706,5
-0.8138263,20.416828,1
8.507897,-4.712621,4
3.8368454,-13.605646,0
14.450637,-4.9397106,5
-12.677623,-16.717812,0
-14.794065,-0.80314726,4
11.728174,-4.4477353,0
-7.485462,-0.06309181,0
-4.915841,-14.325609,5
12.970977,-7.065287,4
-11.873573,-15.314485,0
15.313571,-4.7977085,4
-12.140646,0.47324276,0
8.053953,-7.1729774,3
13.760805,-4.732221,5
-19.370829,-0.68349695,4
-5.9558034,-0.043111295,0
-4.970674,13.30713,4
-5.9108915,-14.737499,0
-18.708555,-2.6380138,4
-13.444063,-10.41182,0
-10.874037,-1.734957,0
2.940887,2.2521763,0
-6.531221,2.1115363,0
-12.341484,-0.15883583,0
13.150884,-4.911899,5
-14.019395,2.3179314,4
-8.890627,-0.020427763,0
14.371465,-5.836086,4
-7.678448,-2.6085277,0
-10.063156,-13.0613785,0
-7.699564,-11.590581,0
-13.219472,0.57744473,0
-10.724981,0.05743615,0
-9.760817,-0.4858865,0
13.830497,-5.35421,5
-21.750214,-3.1842382,4
-10.919167,-6.914054,0
-7.840021,0.57584023,0
-13.222829,-5.1224756,0
13.524239,-5.7130556,5
-8.436434,-13.326912,0
13.723379,-7.013866,4
-8.806882,-1.331667,0
13.44291,-4.194153,5
-13.163279,-4.7093377,0
-12.124345,-13.179979,0
3.4401062,2.4308438,0
-8.086399,-5.2432528,0
-16.905836,-4.962528,0
-16.233885,-0.01022736,4
-13.944742,-3.0364761,0
-1.4923681,-6.8054056,3
-6.3210993,-0.48030487,0
-14.346662,-4.9119496,0
-3.1832786,-4.5273123,3
-2.4100153,-4.3939543,3
-10.069585,-13.7304,0
-6.5378323,-2.4409957,0
-16.083727,1.2712574,0
-10.085222,0.38536546,0
7.3136644,-3.5759263,0
-9.202835,0.47334492,0
-7.006592,1.7593914,0
-6.0484467,-1.8795416,0
-13.284804,-12.414455,0
-12.533819,-14.6693945,0
-16.25613,-5.101427,0
-13.355434,-2.6297274,0
-14.806554,-1.7464514,0
-14.537965,-6.321711,0
-11.193929,1.6105827,0
-11.084825,2.5590367,3
-11.298975,-0.55915874,0
-18.906431,0.13651173,3
-8.222629,-0.56251806,0
-8.289588,-1.64097,0
-19.658928,-4.150756,4
9.311428,-4.1395874,0
-14.879342,-3.131152,0
-16.681787,0.13036558,4
-18.45415,-1.3217633,4
-9.855633,2.2215037,0
-18.869583,-4.6748805,0
-9.8369665,2.0132556,0
-16.53086,-5.9186034,0
-19.09845,-3.5560112,4
-10.465937,-6.4455943,0
-20.594616,-3.633951,4
6.418804,-3.386978,0
-9.728104,-2.0501027,0
7.892514,-2.6724098,0
-17.238213,-5.063821,0
-8.673384,-5.404309,0
-10.072693,1.1873776,0
-16.726992,-3.8588505,0
-12.824382,-0.217958,0
-8.630173,-9.142571,0
-20.386362,-5.389924,4
-7.52702,-2.3332355,0
-14.0597315,-3.9161577,0
-15.661118,-2.8858576,0
7.8737516,-2.7926967,0
-15.276823,-5.9205976,0
-9.651071,-1.1592462,0
-18.64567,-3.7962112,4
6.574968,-3.8420303,0
-17.935514,-2.8630228,4
-8.691516,0.9401148,0
-11.8704195,-1.3574638,0
14.93063,-5.3103604,4
-13.032604,-20.344511,5
3.5441225,-2.1749694,3
2.4422271,-2.7141874,3
-0.5516863,-5.9781594,3
0.20941977,-3.7159102,3
-0.46002355,-5.631146,3
0.51606035,-3.6639485,3
3.0811443,-2.728516,3
0.13042854,-4.0315123,3
1.861392,-3.0736804,3
3.22599,-2.4398355,3
2.8158965,-2.8321037,3
2.854314,-2.3101132,3
-0.21361332,-3.8434472,3
12.598155,-0.792658,3
-1.2919817,-6.844578,3
-0.76712465,-4.361005,3
11.69523,-0.31121755,3
-0.9887592,-5.0349097,3
8.164538,6.7331634,3
7.4742627,9.798301,3
-1.1693746,-4.320347,3
13.65349,-2.358745,3
11.598897,-0.23944542,3
13.9512825,-0.05726593,1
7.1390605,7.4043274,3
-15.655011,-3.5070498,0
13.778017,-0.27215788,3
-16.002121,-2.2389903,4
-5.303237,-13.242576,0
-7.940103,-9.851001,1
-13.447947,-9.233564,0
2.4957843,17.593939,1
15.042816,-2.0375855,1
14.089314,-2.9513037,3
